"","year","social_capital","absence_exclusion","absence_capture","vdeminformal","btiinformal","informal_channels","vdeminstitutional","btiinstitutional","institutional_channels","vdemcso","bticso","intermediary_channels","civil_capacity","quality_interface","resilience","v2cagenmob","percept_civicspace","natgov_confidence"
"98",1886,NA,NA,-0.306033079017352,NA,NA,NA,0.110554757629837,NA,NA,-0.150611279747458,NA,NA,NA,NA,NA,NA,NA,NA
"99",1887,NA,NA,-0.299614559818154,NA,NA,NA,0.0741443779201249,NA,NA,-0.150611279747458,NA,NA,NA,NA,NA,NA,NA,NA
"100",1888,NA,NA,-0.294493346962009,NA,NA,NA,0.0541844816427284,NA,NA,-0.127140108330193,NA,NA,NA,NA,NA,NA,NA,NA
"101",1889,NA,NA,-0.294493346962009,NA,NA,NA,0.0791336138494679,NA,NA,-0.127140108330193,NA,NA,NA,NA,NA,NA,NA,NA
"102",1890,NA,NA,-0.276870670742016,NA,NA,NA,0.066613645172137,NA,NA,-0.125737633396124,NA,NA,NA,NA,NA,NA,NA,NA
"103",1891,NA,NA,-0.270803040334748,NA,NA,NA,0.0954796546490694,NA,NA,-0.0882628433793913,NA,NA,NA,NA,NA,NA,NA,NA
"104",1892,NA,NA,-0.267323104437636,NA,NA,NA,0.118550290176092,NA,NA,-0.0882628433793913,NA,NA,NA,NA,NA,NA,NA,NA
"105",1893,NA,NA,-0.264638105973891,NA,NA,NA,0.113004587530138,NA,NA,-0.0826878940674113,NA,NA,NA,NA,NA,NA,NA,NA
"106",1894,NA,NA,-0.250101157126982,NA,NA,NA,0.102753526245193,NA,NA,-0.0826878940674113,NA,NA,NA,NA,NA,NA,NA,NA
"107",1895,NA,NA,-0.232255934079388,NA,NA,NA,0.111560522133266,NA,NA,-0.0874753889218138,NA,NA,NA,NA,NA,NA,NA,NA
"108",1896,NA,NA,-0.258113582864571,NA,NA,NA,0.119117961622305,NA,NA,-0.0823398163723951,NA,NA,NA,NA,NA,NA,NA,NA
"109",1897,NA,NA,-0.258113582864571,NA,NA,NA,0.112185573519578,NA,NA,-0.0628817026018199,NA,NA,NA,NA,NA,NA,NA,NA
"110",1898,NA,NA,-0.278109316765386,NA,NA,NA,0.113293619158948,NA,NA,-0.0510870043133217,NA,NA,NA,NA,NA,NA,NA,NA
"111",1899,NA,NA,-0.275000650525904,NA,NA,NA,0.111645756413218,NA,NA,-0.0414891898376304,NA,NA,NA,NA,NA,NA,NA,NA
"112",1900,NA,NA,-0.529754816649748,-0.304483061593635,NA,NA,-0.387657396710744,NA,NA,-0.24378398534769,NA,NA,NA,NA,NA,-1.18461607142857,NA,NA
"113",1901,NA,NA,-0.529754816649748,-0.285680133246165,NA,NA,-0.363516984859911,NA,NA,-0.241085142230595,NA,NA,NA,NA,NA,-1.17842477876106,NA,NA
"114",1902,NA,NA,-0.52341133742847,-0.272375927944174,NA,NA,-0.371514872033958,NA,NA,-0.242430016270104,NA,NA,NA,NA,NA,-1.1630347826087,NA,NA
"115",1903,NA,NA,-0.529473231563953,-0.261710571079928,NA,NA,-0.372653326346698,NA,NA,-0.247032640730826,NA,NA,NA,NA,NA,-1.12211016949153,NA,NA
"116",1904,NA,NA,-0.52411448449202,-0.272829273021101,NA,NA,-0.3783317503671,NA,NA,-0.255670255660154,NA,NA,NA,NA,NA,-1.11294166666667,NA,NA
"117",1905,NA,NA,-0.515357609251981,-0.269098098313084,NA,NA,-0.371184548741085,NA,NA,-0.252984806827465,NA,NA,NA,NA,NA,-1.05935537190083,NA,NA
"118",1906,NA,NA,-0.511238644575729,-0.263336531714484,NA,NA,-0.367968229835904,NA,NA,-0.247602541012688,NA,NA,NA,NA,NA,-1.10255833333333,NA,NA
"119",1907,NA,NA,-0.501733350565591,-0.266698544260578,NA,NA,-0.374967974926323,NA,NA,-0.244917777807686,NA,NA,NA,NA,NA,-1.10635833333333,NA,NA
"120",1908,NA,NA,-0.501480312606715,-0.257359620521429,NA,NA,-0.369054044819253,NA,NA,-0.242335726053673,NA,NA,NA,NA,NA,-1.11445833333333,NA,NA
"121",1909,NA,NA,-0.496292339450352,-0.256041184228843,NA,NA,-0.363650145645442,NA,NA,-0.245094669751055,NA,NA,NA,NA,NA,-1.10279166666667,NA,NA
"122",1910,NA,NA,-0.497225007922506,-0.261154663741653,NA,NA,-0.362617551590278,NA,NA,-0.255233069664614,NA,NA,NA,NA,NA,-0.997768595041322,NA,NA
"123",1911,NA,NA,-0.510299126286303,-0.270855446300492,NA,NA,-0.352638219271243,NA,NA,-0.26092195089067,NA,NA,NA,NA,NA,-0.989577235772358,NA,NA
"124",1912,NA,NA,-0.504565046165041,-0.270393653806518,NA,NA,-0.35565207127836,NA,NA,-0.25650194317177,NA,NA,NA,NA,NA,-0.972672,NA,NA
"125",1913,NA,NA,-0.503088768760999,-0.273305723808316,NA,NA,-0.356981415295625,NA,NA,-0.254810738662648,NA,NA,NA,NA,NA,-0.976424,NA,NA
"126",1914,NA,NA,-0.511823632796076,-0.306429016356675,NA,NA,-0.372783163569734,NA,NA,-0.278717770449141,NA,NA,NA,NA,NA,-0.956753968253968,NA,NA
"127",1915,NA,NA,-0.504608626166342,-0.306600689911728,NA,NA,-0.370040478272588,NA,NA,-0.281698727272579,NA,NA,NA,NA,NA,-0.978777777777778,NA,NA
"128",1916,NA,NA,-0.516922867587811,-0.318517282510486,NA,NA,-0.384805472749825,NA,NA,-0.282699506926627,NA,NA,NA,NA,NA,-0.987356589147287,NA,NA
"129",1917,NA,NA,-0.496794068081085,-0.326023410772647,NA,NA,-0.380944723021592,NA,NA,-0.275870063769423,NA,NA,NA,NA,NA,-0.860546153846154,NA,NA
"130",1918,NA,NA,-0.405057878179382,-0.295810318219191,NA,NA,-0.383159388653638,NA,NA,-0.235211053776205,NA,NA,NA,NA,NA,-0.806434782608696,NA,NA
"131",1919,NA,NA,-0.369997132223042,-0.285899371468268,NA,NA,-0.368147209135773,NA,NA,-0.200684097708196,NA,NA,NA,NA,NA,-0.726657142857143,NA,NA
"132",1920,NA,NA,-0.362241669211616,-0.275044584053233,NA,NA,-0.332693764179784,NA,NA,-0.169210879141673,NA,NA,NA,NA,NA,-0.862748251748252,NA,NA
"133",1921,NA,NA,-0.351690394651663,-0.269976251162047,NA,NA,-0.2968720146481,NA,NA,-0.176052909388553,NA,NA,NA,NA,NA,-0.882811188811189,NA,NA
"134",1922,NA,NA,-0.346202344754141,-0.264478236926103,NA,NA,-0.303172554014381,NA,NA,-0.195451740291717,NA,NA,NA,NA,NA,-0.923513698630137,NA,NA
